z, dz, mu, dmu
0.5031,0,42.173,0.128
0.5807,0,42.741,0.147
0.4948,0,42.108,0.127
0.3459,0,41.311,0.119
0.6777,0,43.237,0.230
0.6107,0,42.358,0.291
0.8665,0,43.550,0.233
0.3309,0,40.960,0.113
0.7986,0,43.483,0.226
0.4496,0,41.992,0.150
0.3714,0,41.470,0.137
0.2917,0,40.678,0.143
0.3558,0,41.281,0.127
0.4613,0,41.920,0.170
0.2836,0,40.597,0.113
0.6322,0,42.874,0.224
0.4664,0,42.434,0.164
0.2686,0,40.414,0.112
0.9469,0,43.233,0.245
0.9249,0,43.953,0.263
0.6932,0,42.966,0.278
0.6252,0,42.628,0.176
0.8969,0,43.743,0.228
0.6083,0,42.653,0.143
0.7891,0,43.414,0.229
0.5783,0,42.458,0.151
0.5903,0,42.493,0.162
0.7196,0,43.009,0.225
0.2100,0,39.845,0.115
0.7666,0,43.567,0.195
0.8585,0,43.164,0.203
0.3679,0,41.496,0.109
0.5587,0,42.363,0.141
0.8485,0,43.574,0.197
0.9964,0,44.141,0.196
0.7766,0,43.077,0.234
0.5829,0,42.576,0.137
0.5837,0,42.508,0.127
0.7966,0,42.902,0.212
0.5887,0,42.547,0.138
0.9135,0,43.770,0.191
0.7686,0,43.201,0.218
0.9485,0,43.535,0.221
0.5138,0,42.361,0.142
0.7336,0,43.098,0.186
0.6377,0,42.423,0.272
0.7656,0,43.189,0.191
0.4349,0,41.798,0.120
0.9834,0,44.094,0.220
0.5837,0,42.654,0.142
0.7006,0,42.866,0.192
0.6621,0,42.841,0.198
0.8381,0,43.376,0.316
0.6219,0,42.624,0.189
0.3706,0,41.338,0.144
0.4166,0,41.704,0.121
0.3586,0,41.214,0.116
0.4517,0,41.551,0.138
0.5228,0,42.390,0.142
0.7340,0,43.395,0.281
0.7020,0,42.792,0.279
0.7420,0,43.699,0.243
0.7461,0,42.995,0.189
0.3496,0,40.960,0.129
0.5918,0,42.497,0.138
0.5147,0,42.486,0.143
0.6206,0,42.727,0.169
0.6436,0,42.794,0.217
1.0028,0,44.138,0.280
0.4706,0,41.881,0.129
0.6106,0,42.750,0.135
0.2635,0,40.388,0.111
0.3583,0,41.181,0.111
0.7427,0,43.112,0.231
0.4516,0,41.598,0.124
0.9108,0,43.979,0.217
0.5526,0,42.144,0.143
0.3375,0,41.150,0.111
0.7507,0,42.942,0.219
0.9838,0,43.714,0.286
0.8227,0,43.620,0.204
0.8137,0,43.651,0.200
0.9508,0,44.124,0.206
0.8177,0,43.642,0.208
0.3405,0,41.190,0.108
0.9608,0,43.490,0.223
0.8107,0,43.222,0.232
0.7567,0,43.600,0.206
0.6113,0,42.859,0.168
0.8780,0,43.864,0.216
0.5483,0,42.083,0.153
0.8090,0,43.304,0.216
1.0288,0,44.120,0.229
0.6272,0,42.703,0.179
0.4225,0,41.609,0.121
0.9339,0,43.773,0.294
0.7012,0,43.198,0.201
0.6972,0,43.091,0.185
0.6852,0,42.984,0.246
0.7671,0,43.765,0.218
0.9319,0,44.033,0.199
0.8640,0,43.562,0.216
0.7491,0,42.819,0.206
0.5144,0,42.260,0.126
0.4684,0,41.992,0.121
0.4704,0,42.321,0.140
0.9589,0,44.223,0.235
0.9279,0,44.066,0.248
0.8405,0,43.510,0.212
0.6307,0,42.617,0.159
0.5628,0,42.468,0.132
0.6157,0,42.689,0.152
0.8285,0,43.840,0.206
0.5647,0,42.477,0.142
0.5787,0,42.460,0.129
0.5577,0,42.392,0.141
0.8645,0,43.686,0.208
0.7356,0,43.202,0.224
0.8585,0,43.412,0.252
0.2620,0,40.370,0.119
0.5857,0,42.758,0.160
0.7616,0,43.189,0.188
0.4888,0,42.103,0.120
0.8585,0,43.951,0.284
0.6887,0,42.911,0.178
0.5587,0,42.801,0.159
0.3245,0,41.045,0.109
0.4807,0,41.945,0.116
0.1854,0,39.700,0.112
0.9222,0,43.478,0.317
0.6819,0,42.978,0.179
0.4757,0,41.978,0.117
0.9222,0,43.702,0.232
0.8932,0,43.800,0.227
0.4286,0,42.008,0.128
0.6319,0,42.197,0.223
0.7000,0,43.022,0.239
0.7360,0,43.090,0.243
0.5758,0,42.532,0.146
0.4186,0,41.625,0.118
0.5117,0,42.385,0.128
0.5358,0,42.236,0.137
0.6419,0,42.910,0.187
0.7350,0,43.298,0.202
